site_name,company_name,link,latitude,longitude,address,homepage,phone,sales_phone,email,sales_email,opening_hours,site_type,id,image_path
Carrières Daniel,,https://www.google.com/maps/place/Carri%C3%A8res+Daniel/data=!4m7!3m6!1s0xd57d70137e283bb:0x47bb7a63ba982daa!8m2!3d43.0477371!4d-0.0472519!16s%2Fg%2F1tl1k6q9!19sChIJu4PiNwHXVw0Rqi2YumN6u0c?authuser=0&amp;hl=en&amp;rclk=1,43.0477,-0.0473,"Le Village, 65100 Ger, France",,#ERROR!,,,,,Quarry,949a5a8b-8e9d-40c5-8100-2f30a3e82f7b,data/images/train/949a5a8b-8e9d-40c5-8100-2f30a3e82f7b_43.0477_-0.0473.png
Malet Horgues.,,https://www.google.com/maps/place/Malet+Horgues./data=!4m7!3m6!1s0x12a9d340dcd96815:0x7fc1a1dcc252237e!8m2!3d43.1902506!4d0.0915659!16s%2Fg%2F11c2lr5c5n!19sChIJFWjZ3EDTqRIRfiNSwtyhwX8?authuser=0&amp;hl=en&amp;rclk=1,43.1903,0.0916,"Chem. de Mansas, 65310 Horgues, France",,,,,,,Quarry,044d1092-4bb7-4e09-b073-113037a0a196,data/images/train/044d1092-4bb7-4e09-b073-113037a0a196_43.1903_0.0916.png
Carrieres Plo,,https://www.google.com/maps/place/Carrieres+Plo/data=!4m7!3m6!1s0x12a8442314ffa19f:0xe33b3521e586151b!8m2!3d42.9604826!4d0.3936722!16s%2Fg%2F1thzwtzk!19sChIJn6H_FCNEqBIRGxWG5SE1O-M?authuser=0&amp;hl=en&amp;rclk=1,42.9605,0.3937,"Village, 65410 Ilhet, France",,#ERROR!,,,,,Quarry,738e1bd8-6a64-40a9-85ff-c442965db618,data/images/train/738e1bd8-6a64-40a9-85ff-c442965db618_42.9605_0.3937.png
Dastugue Jean et Fils,,https://www.google.com/maps/place/Dastugue+Jean+et+Fils/data=!4m7!3m6!1s0x12a84ec6447e8019:0x4b0c3e308a2208cd!8m2!3d43.0688589!4d0.3865231!16s%2Fg%2F1td6_4j3!19sChIJGYB-RMZOqBIRzQgiijA-DEs?authuser=0&amp;hl=en&amp;rclk=1,43.0689,0.3865,"Rue du Bas Mour, 65250 La Barthe-de-Neste, France",,#ERROR!,,,,,Quarry,1e07b5a8-b697-4971-bc39-b57d05084eea,data/images/train/1e07b5a8-b697-4971-bc39-b57d05084eea_43.0689_0.3865.png
Pema Carrières Du Roc,,https://www.google.com/maps/place/Pema+Carri%C3%A8res+Du+Roc/data=!4m7!3m6!1s0x12a98d9ba949026b:0xda38963eb5e6f00a!8m2!3d43.6493295!4d0.3438957!16s%2Fg%2F11b6d4052c!19sChIJawJJqZuNqRIRCvDmtT6WONo?authuser=0&amp;hl=en&amp;rclk=1,43.6493,0.3439,"32320 Riguepeu, France",,#ERROR!,,,,,Quarry,e96a46a3-9be3-4d3d-a3ec-2563c0e13ef2,data/images/train/e96a46a3-9be3-4d3d-a3ec-2563c0e13ef2_43.6493_0.3439.png
Ancienne carrière de Saint-Cricq,,https://www.google.com/maps/place/Ancienne+carri%C3%A8re+de+Saint-Cricq/data=!4m7!3m6!1s0x12a97853c571897d:0xd05f3ecd7b4c8a3e!8m2!3d43.6676077!4d0.6353402!16s%2Fg%2F11bxfknq1d!19sChIJfYlxxVN4qRIRPopMe80-X9A?authuser=0&amp;hl=en&amp;rclk=1,43.6676,0.6353,"Chem. de Saint-Cricq, 32000 Auch, France",,,,,,,Quarry,a912d14a-c2b2-48f8-be8c-670d21bfdd3c,data/images/train/a912d14a-c2b2-48f8-be8c-670d21bfdd3c_43.6676_0.6353.png
Carrière de marbre,,https://www.google.com/maps/place/Carri%C3%A8re+de+marbre/data=!4m7!3m6!1s0x12a8cfa464f5ad2b:0x158a3112fa3cd1ab!8m2!3d42.9814894!4d1.0845616!16s%2Fg%2F11j7vclgj9!19sChIJK631ZKTPqBIRq9E8-hIxihU?authuser=0&amp;hl=en&amp;rclk=1,42.9815,1.0846,"Unnamed Road, 09200, Montégut-en-Couserans, France",,,,,,,Quarry,7a789d84-10e0-45ba-9cb3-d57a22cebe39,data/images/train/7a789d84-10e0-45ba-9cb3-d57a22cebe39_42.9815_1.0846.png
Marbriere Grand Antique,,https://www.google.com/maps/place/Marbriere+Grand+Antique/data=!4m7!3m6!1s0x12a8cf57f9395ef1:0x1a26883f48b34ce5!8m2!3d42.964384!4d1.105209!16s%2Fg%2F11p0blkns4!19sChIJ8V45-VfPqBIR5UyzSD-IJho?authuser=0&amp;hl=en&amp;rclk=1,42.9644,1.1052,"09200 Moulis, France",,,,,,,Quarry,4537c187-4b4e-415f-a723-a07934fd218b,data/images/train/4537c187-4b4e-415f-a723-a07934fd218b_42.9644_1.1052.png
Sablières de Garonne,,https://www.google.com/maps/place/Sabli%C3%A8res+de+Garonne/data=!4m7!3m6!1s0x12aece9e8a8aca87:0xb0f60b5f57bc41f3!8m2!3d43.376343!4d1.2915859!16s%2Fg%2F1thzwvfn!19sChIJh8qKip7OrhIR80G8V18L9rA?authuser=0&amp;hl=en&amp;rclk=1,43.3763,1.2916,"Village, 31410 Mauzac, France",,#ERROR!,,,,,Quarry,ce2302ed-cee4-4a54-9c2e-2a20c67c556e,data/images/train/ce2302ed-cee4-4a54-9c2e-2a20c67c556e_43.3763_1.2916.png
Carrière Diogo,,https://www.google.com/maps/place/Carri%C3%A8re+Diogo/data=!4m7!3m6!1s0x12ac851c93be5d0b:0x501e885c54144d5a!8m2!3d44.5158382!4d1.3315135!16s%2Fg%2F1tdqdmsy!19sChIJC12-kxyFrBIRWk0UVFyIHlA?authuser=0&amp;hl=en&amp;rclk=1,44.5158,1.3315,"Les Vitarelles, 46150 Crayssac, France",,#ERROR!,,,,,Quarry,5c0bed79-403c-454e-9a0f-8cd54f5db90e,data/images/train/5c0bed79-403c-454e-9a0f-8cd54f5db90e_44.5158_1.3315.png
